triple,both_id,men_id,women_id,months,max_abs_error_000s,status
ages=65 years and over | Civilian noninstitutional population,LNU00000097,LNU00000199,LNU00000354,941,2.0,OK
education=Some college or associate degree | Employed,LNU02027689,LNU02027693,LNU02027694,413,2.0,OK
ages=65 years and over | Unemployed,LNU03000097,LNU03000199,LNU03000354,941,2.0,OK
ages=65 years and over | Not in labor force,LNU05000097,LNU05000199,LNU05000354,600,2.0,OK
duration=27 to 51 weeks | Unemployed,LNU03008936,LNU03008954,LNU03008975,600,2.0,OK
duration=15 to 26 weeks | Unemployed,LNU03008876,LNU03008894,LNU03008915,600,2.0,OK
duration=5 to 14 weeks | Unemployed,LNU03008756,LNU03008774,LNU03008795,600,2.0,OK
duration=52 weeks and over | Unemployed,LNU03008696,LNU03008714,LNU03008735,600,2.0,OK
ages=55 to 59 years | Employed,LNU02000094,LNU02000189,LNU02000346,600,2.0,OK
ages=55 to 59 years | Civilian labor force,LNU01000094,LNU01000189,LNU01000346,600,2.0,OK
ages=55 to 59 years | Civilian noninstitutional population,LNU00000094,LNU00000189,LNU00000346,600,2.0,OK
ages=55 years and over | Unemployed looking for part-time work,LNU03224230,LNU03224231,LNU03224232,600,2.0,OK
race=White | Unemployed looking for part-time work,LNU03200003,LNU03200004,LNU03200005,600,2.0,OK
race=White | Unemployed,LNU03000003,LNU03000004,LNU03000005,869,2.0,OK
ages=45 years and over | Civilian noninstitutional population,LNU00000092,LNU00000180,LNU00000339,600,2.0,OK
ages=45 years and over | Civilian labor force,LNU01000092,LNU01000180,LNU01000339,600,2.0,OK
ages=45 years and over | Unemployed,LNU03000092,LNU03000180,LNU03000339,600,2.0,OK
ages=45 years and over | Not in labor force,LNU05000092,LNU05000180,LNU05000339,600,2.0,OK
race=White | Employed,LNU02000003,LNU02000004,LNU02000005,869,2.0,OK
race=White | Civilian labor force,LNU01000003,LNU01000004,LNU01000005,869,2.0,OK
ages=45 to 54 years | Civilian noninstitutional population,LNU00000093,LNU00000182,LNU00000341,941,2.0,OK
ages=45 to 54 years | Civilian labor force,LNU01000093,LNU01000182,LNU01000341,941,2.0,OK
ages=45 to 54 years | Employed,LNU02000093,LNU02000182,LNU02000341,941,2.0,OK
ages=45 to 54 years | Unemployed,LNU03000093,LNU03000182,LNU03000341,941,2.0,OK
ages=45 to 54 years | Not in labor force,LNU05000093,LNU05000182,LNU05000341,600,2.0,OK
ages=55 years and over | Employed,LNU02024230,LNU02024231,LNU02024232,941,2.0,OK
ages=55 years and over | Employed full time (persons who usually work 35 hours or more),LNU02524230,LNU02524231,LNU02524232,485,2.0,OK
ages=55 years and over | Unemployed,LNU03024230,LNU03024231,LNU03024232,941,2.0,OK
ages=55 years and over | Unemployed looking for full-time work,LNU03124230,LNU03124231,LNU03124232,600,2.0,OK
ages=45 years and over | Employed,LNU02000092,LNU02000180,LNU02000339,600,2.0,OK
indy=Nonagriculture industries | Employed,LNU02035019,LNU02035020,LNU02035022,941,2.0,OK
ages=16 to 17 years | Civilian noninstitutional population,LNU00000086,LNU00000152,LNU00000317,941,2.0,OK
ages=16 to 19 years | Civilian noninstitutional population,LNU00000012,LNU00000013,LNU00000014,941,2.0,OK
ages=16 to 24 years | Civilian labor force,LNU01024887,LNU01024885,LNU01024886,941,2.0,OK
ages=16 to 19 years | Not in labor force,LNU05000012,LNU05000013,LNU05000014,600,2.0,OK
ages=16 to 19 years | Unemployed looking for part-time work,LNU03200012,LNU03200013,LNU03200014,600,2.0,OK
ages=16 to 19 years | Unemployed looking for full-time work,LNU03100012,LNU03100013,LNU03100014,600,2.0,OK
ages=16 to 19 years | Unemployed,LNU03000012,LNU03000013,LNU03000014,941,2.0,OK
ages=16 to 19 years | Employed part time (persons who usually work less than 35 hours),LNU02600012,LNU02600013,LNU02600014,485,2.0,OK
ages=16 to 19 years | Employed full time (persons who usually work 35 hours or more),LNU02500012,LNU02500013,LNU02500014,485,2.0,OK
ages=16 to 19 years | Employed,LNU02000012,LNU02000013,LNU02000014,941,2.0,OK
